keys,pt,en,es,de,fr
COMMON_CLOSE,"Fechar","Close","Cerrar","Schließen","Fermer"
COMMON_OK,"OK","OK","OK","OK","OK"
SPLASH_TAGLINE,"Cuide da sua ilha de dinossauros","Take care of your dinosaur island","Cuida tu isla de dinosaurios","Kümmere dich um deine Dino-Insel","Prends soin de ton île aux dinosaures"
HUD_FOOD,"Comida: {amount}","Food: {amount}","Comida: {amount}","Futter: {amount}","Nourriture : {amount}"
HUD_PRODUCTION,"Produção: {rate}/seg","Production: {rate}/sec","Producción: {rate}/seg","Produktion: {rate}/Sek.","Production : {rate}/s"
HUD_COMBO_ZERO,"Combo: 0x","Combo: 0x","Combo: 0x","Combo: 0x","Combo : 0x"
HUD_COMBO,"Combo: {count}x","Combo: {count}x","Combo: {count}x","Combo: {count}x","Combo : {count}x"
HUD_COMBO_BONUS,"Combo: {count}x (+{percent}%)","Combo: {count}x (+{percent}%)","Combo: {count}x (+{percent}%)","Combo: {count}x (+{percent}%)","Combo : {count}x (+{percent}%)"
HUD_BOOST_BUTTON,"Dobrar produção (30 min)","Double production (30 min)","Duplicar producción (30 min)","Produktion verdoppeln (30 Min.)","Doubler la production (30 min)"
HUD_BOOST_ACTIVE,"Produção 2x ativa ({time})","2x production active ({time})","Producción 2x activa ({time})","2x Produktion aktiv ({time})","Production 2x active ({time})"
HUD_BONUS_BUTTON,"Bônus de comida","Food bonus","Bono de comida","Futter-Bonus","Bonus de nourriture"
MAIN_FEED_PROMPT,"Toque para alimentar os dinos!","Tap to feed the dinos!","¡Toca para alimentar a los dinos!","Tippe, um die Dinos zu füttern!","Touchez pour nourrir les dinos !"
CARD_LOCKED,"Bloqueado","Locked","Bloqueado","Gesperrt","Verrouillé"
CARD_LEVEL,"Nível {level}","Level {level}","Nivel {level}","Stufe {level}","Niveau {level}"
CARD_PRODUCTION_RATE,"+{rate}/seg","+{rate}/sec","+{rate}/seg","+{rate}/Sek.","+{rate}/s"
CARD_BADGE_TOOLTIP,"Nível {level}: {effect}","Level {level}: {effect}","Nivel {level}: {effect}","Stufe {level}: {effect}","Niveau {level} : {effect}"
CARD_UNLOCK_BUTTON,"Desbloquear\n{cost}","Unlock\n{cost}","Desbloquear\n{cost}","Freischalten\n{cost}","Débloquer\n{cost}"
CARD_MAX_LEVEL_BUTTON,"Nível\nMáximo","Max\nLevel","Nivel\nMáximo","Max.\nStufe","Niveau\nmax"
CARD_LEVELUP_BUTTON,"Nível up\n{cost}","Level up\n{cost}","Subir nivel\n{cost}","Level-up\n{cost}","Améliorer\n{cost}"
SPECIES_DETAIL_SUBTITLE_LOCKED,"Bloqueado — desbloqueia por {cost}","Locked — unlock for {cost}","Bloqueado — desbloquéalo por {cost}","Gesperrt — Freischalten für {cost}","Verrouillé — débloquer pour {cost}"
SPECIES_DETAIL_ROW_UNLOCKED,"Nível {level} — {effect} (desbloqueado)","Level {level} — {effect} (unlocked)","Nivel {level} — {effect} (desbloqueado)","Stufe {level} — {effect} (freigeschaltet)","Niveau {level} — {effect} (débloqué)"
